day_of_year,Median occupancy rate,Max occupancy rate,Min occupancy rate,Median beds open,Max beds open,Min beds open,Median beds occupied,Max beds occupied,Min beds occupied,Median critical care beds occupancy rate,Max critical care beds occupancy rate,Min critical care beds occupancy rate,Median no. beds occupied by long-stay patients (> 7 days),Max no. beds occupied by long-stay patients (> 7 days),Min no. beds occupied by long-stay patients (> 7 days),Median no. beds occupied by long-stay patients (> 21 days),Max no. beds occupied by long-stay patients (> 21 days),Min no. beds occupied by long-stay patients (> 21 days)
2022-01-17,0,0.9573579915525204,0,98407.5,101332,97858,93438,97011,92379,0.8619054947591749,0.8734211233539371,0.8333786354987769,NA,NA,NA,NA,NA,NA
2022-01-18,0,0.9526388614350663,0,98625,101180,97135,93713,96388,90936,0.8598922247882987,0.8678562192914404,0.8077345035655513,NA,NA,NA,NA,NA,NA
2022-01-19,0,0.9527699922475997,0,97864,101191,96882,92542,96203,90429,0.8638689866939611,0.8760814959531119,0.8013172338090011,NA,NA,NA,NA,NA,NA
2022-01-20,0,0.9534283950371418,0,98539,100426,97120,93819,95749,90667,0.853781512605042,0.871200412158681,0.8135179153094463,NA,NA,NA,NA,NA,NA
2022-01-21,0,0.9525633768649173,0,98367,100465,97792,93464,94239,92734,0.844180915609487,0.8733385457388585,0.8229704045614987,NA,NA,NA,NA,NA,NA
2022-01-22,0,0.9496514098203689,0,99074,100551,97869,94802,95213,93014,0.8494679470542434,0.868066774367259,0.8118349338178044,NA,NA,NA,NA,NA,NA
2022-01-23,0,0.9567013387746977,0,98620.5,100465,97360,93905.5,96115,92661,0.8560291017503732,0.8705659355537504,0.8434782608695652,NA,NA,NA,NA,NA,NA
2022-01-24,0,0.9590226419951092,0,98330,101007,97361,93700,96868,90596,0.8592526085324519,0.8661099137931034,0.8255782312925171,NA,NA,NA,NA,NA,NA
2022-01-25,0,0.9596488081001355,0,98669,100344,97173,93898,96295,90713,0.8601076095311299,0.8650190114068441,0.8090909090909091,NA,NA,NA,NA,NA,NA
2022-01-26,0,0.9579188527110256,0,97922,101073,96267,92515,96586,90624,0.8476269775187344,0.8906493506493507,0.790052212146194,NA,NA,NA,NA,NA,NA
2022-01-27,0,0.9581575420658163,0,98517,100735,97395,92846,96520,91459,0.8340807174887892,0.8792033109156752,0.820952380952381,NA,NA,NA,NA,NA,NA
2022-01-28,0,0.9554872303496157,0,98698,100825,98494,93782,96337,92784,0.83933736523797,0.8780740357235309,0.8277184333059435,NA,NA,NA,NA,NA,NA
2022-01-29,0,0.9514727378306401,0,99089,100841,98415,94912,95877,94126,0.8512914166449257,0.8626284478096268,0.8402102496714849,NA,NA,NA,NA,NA,NA
