Date,Name,Occupancy rate,G&A beds occ'd,G&A Beds Open,Critical care beds occupancy rate,No. beds occupied by flu patients (Critical Care),No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),day_of_year
2021-11-29T00:00:00Z,Wirral University Teaching Hospital NHS Foundation Trust,0.9233983286908078,663,718,0.6111111111111112,0,350,144,2021-11-29
2021-11-30T00:00:00Z,Wirral University Teaching Hospital NHS Foundation Trust,0.951048951048951,680,715,0.7777777777777778,0,344,140,2021-11-30
2021-12-01T00:00:00Z,Wirral University Teaching Hospital NHS Foundation Trust,0.9387186629526463,674,718,0.7777777777777778,0,337,141,2021-12-01
2021-12-02T00:00:00Z,Wirral University Teaching Hospital NHS Foundation Trust,0.9505494505494505,692,728,0.7777777777777778,0,343,145,2021-12-02
2021-12-03T00:00:00Z,Wirral University Teaching Hospital NHS Foundation Trust,0.9400278940027894,674,717,0.8888888888888888,0,345,140,2021-12-03
2021-12-04T00:00:00Z,Wirral University Teaching Hospital NHS Foundation Trust,0.9357541899441341,670,716,0.7222222222222222,0,339,140,2021-12-04
2021-12-05T00:00:00Z,Wirral University Teaching Hospital NHS Foundation Trust,0.9262865090403338,666,719,0.7777777777777778,0,336,146,2021-12-05
2021-11-29T00:00:00Z,St Helens and Knowsley Teaching Hospitals NHS Trust,0.9519890260631001,694,729,0.7142857142857143,0,335,106,2021-11-29
2021-11-30T00:00:00Z,St Helens and Knowsley Teaching Hospitals NHS Trust,0.9626038781163435,695,722,0.6428571428571429,0,329,106,2021-11-30
2021-12-01T00:00:00Z,St Helens and Knowsley Teaching Hospitals NHS Trust,0.9774964838255977,695,711,0.6428571428571429,0,323,105,2021-12-01
2021-12-02T00:00:00Z,St Helens and Knowsley Teaching Hospitals NHS Trust,0.9847856154910097,712,723,0.5,0,316,103,2021-12-02
2021-12-03T00:00:00Z,St Helens and Knowsley Teaching Hospitals NHS Trust,0.9740082079343365,712,731,0.5714285714285714,0,310,99,2021-12-03
2021-12-04T00:00:00Z,St Helens and Knowsley Teaching Hospitals NHS Trust,0.9690140845070423,688,710,0.5,0,295,96,2021-12-04
2021-12-05T00:00:00Z,St Helens and Knowsley Teaching Hospitals NHS Trust,0.9493670886075949,675,711,0.5,0,299,98,2021-12-05
2021-11-29T00:00:00Z,Liverpool Heart and Chest Hospital NHS Foundation Trust,0.74,111,150,0.5,0,51,12,2021-11-29
2021-11-30T00:00:00Z,Liverpool Heart and Chest Hospital NHS Foundation Trust,0.78,117,150,0.59375,0,62,12,2021-11-30
2021-12-01T00:00:00Z,Liverpool Heart and Chest Hospital NHS Foundation Trust,0.8,120,150,0.59375,0,52,11,2021-12-01
2021-12-02T00:00:00Z,Liverpool Heart and Chest Hospital NHS Foundation Trust,0.8333333333333334,125,150,0.53125,0,48,9,2021-12-02
2021-12-03T00:00:00Z,Liverpool Heart and Chest Hospital NHS Foundation Trust,0.7466666666666667,112,150,0.625,0,49,9,2021-12-03
2021-12-04T00:00:00Z,Liverpool Heart and Chest Hospital NHS Foundation Trust,0.6733333333333333,101,150,0.71875,0,51,8,2021-12-04
2021-12-05T00:00:00Z,Liverpool Heart and Chest Hospital NHS Foundation Trust,0.6933333333333334,104,150,0.59375,0,52,9,2021-12-05
2021-11-29T00:00:00Z,Alder Hey Children's NHS Foundation Trust,0.8599033816425121,178,207,NA,0,1,1,2021-11-29
2021-11-30T00:00:00Z,Alder Hey Children's NHS Foundation Trust,0.8502415458937198,176,207,NA,0,0,1,2021-11-30
2021-12-01T00:00:00Z,Alder Hey Children's NHS Foundation Trust,0.8743961352657005,181,207,NA,0,1,1,2021-12-01
